序号,题名,作者,关键词,摘要,DOI,CN,作者单位,刊名,ISSN,页码,核心类型,中图分类号
410,以大概率思维应对小概率事件:认知域风险演化与防范,"景慎佳, 夏一雪, 张立红, 刘阳, 邹仪, 兰月新","认知域, 双层SEIR模型, 智能认知战, 风险演化, 系统动力学","[研究目的]在智能认知战背景下,认知域成为现代复杂冲突与博弈的关键战场,其风险演化具有高度的动态性与复杂性,如何动态评估认知域风险的演化过程,提升认知域风险分析的精准性,提高应对认知域风险的能力仍是一个重要的课题.[研究方法]本研究通过引入""大概率思维应对小概率事件""这一思想,分析智能认知战背景下的相关技术、机制和法规对认知域的影响,构建双层SEIR模型从情感层与信息层两个视角来动态分析认知域风险的演化路径和趋势,最终通过系统动力学模拟认知域风险演化情况.[研究结果/结论]研究发现,认知域风险在早期主要由信息风险驱动,而后期情感风险对风险扩散起决定性作用.同时,在虚假信息反复叙事和极端情绪对立两种小概率事件场景下,风险峰值、上升速度及回落特性均存在显著差异,通过参数敏感性分析得到关键驱动因素并提出相应治理策略.本研究为构建高效的认知安全防御体系提供了理论依据,并为应对认知渗透和攻击提出了精准分阶段的风险干预策略.",10.3969/j.issn.1002-1965.2025.10.010,61-1167/G3,河口出入境边防检查站," 情报杂志,Journal of Intelligence,2025,44(10)",1002-1965,73-85,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论)
411,何以栖居?人智交互中用户矛盾态度对人机知识共创体验的影响,"张宁, 陈江玲, 袁勤俭","人机知识共创, 矛盾态度, 人智交互, 情境式问卷法, 系统性决策","[目的/意义]AIGC平台的知识获取逐渐成为知识用户认知突破和创新来源的生长点.人机知识共创是人智交互时代新型的人机关系,探索该过程中用户喜忧参半的矛盾态度对人机知识共创体验的影响,有助于还原互动情境,促进AIGC平台的可持续发展.[研究设计/方法]通过情境式问卷法,引入认知负荷理论,构建不同程度矛盾态度与人机知识共创体验的研究模型,并探究系统性决策的中介作用和算法卷入度的调节作用.[结论/发现]矛盾态度和人机知识共创体验之间存在倒""U""形关系,随着矛盾态度程度深化,人机知识共创体验呈现先提升后下降的变化趋势;系统性决策在矛盾态度和人机知识共创体验的关系中起到中介作用;算法卷入度调节了中介作用,在算法卷入度的不同水平下,矛盾态度和系统性决策的倒""U""形关系存在,中矛盾态度程度和高算法卷入度的组合表现最优.[创新/价值]研究丰富了认知负荷理论的应用范畴,有助于辩证理解用户矛盾态度,并为人智交互过程中用户知识共创体验的改善提供参考.",10.13366/j.dik.2025.05.066,42-1085/G2,"贵州财经大学, 南京大学"," 图书情报知识,Document,Informaiton & Knowledge,2025,42(5)",1003-2797,66-78,"CSTPCD, 北大核心, CSSCI, AMI",G203(信息与传播理论)
412,基于大语言模型生成内容的负面舆情态势恶化牵引作用研究,"祁凯, 周燕生","大语言模型, 负面网络舆情, 公共突发事件, 情感分析, 反制机制, LDA","[研究目的]探索大语言模型生成内容在负面网络舆情传播中的牵引作用及其对网络舆情安全的潜在风险,为网络舆情管理提供科学依据与应对策略.[研究方法]为有效监测和管理负面网络舆情,构建了基于ALBERT-XGBoost的情感分析模型,并结合LDA主题建模和Mantel Test统计方法,形成负面舆情态势恶化的牵引效应量化分析框架,以定量方式探究LLM生成内容对负面舆情的影响.[研究结果/结论]突发事件实证分析表明:大语言模型生成内容在负面舆情的萌芽、爆发、复燃与衰退各阶段均显著助推了谣言扩散和情绪激化,尤其在放大公众的不信任情绪和推动情绪波动方面影响显著.并由此提出针对性的应对机制,为缓解大语言模型对负面舆情的牵引作用提供理论支持.",10.3969/j.issn.1002-1965.2025.08.019,61-1167/G3,哈尔滨师范大学经济与管理学院 哈尔滨 150025," 情报杂志,Journal of Intelligence,2025,44(8)",1002-1965,"153-161,171","CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论)
413,如何提高淡季新媒体营销的有效性?——基于贝叶斯模型的旅游景区公众号注意力研究,"罗卉, 苏思晴, 梁增贤","季节性, 注意力, 新媒体营销, 贝叶斯网络模型, 焦作云台山","旅游流季节性波动是旅游景区面临的普遍问题,而通过新媒体营销吸引淡季游客成为景区平衡季节性的重要手段.如何提升旅游景区淡季新媒体营销的有效性是研究热点.文章以季节性明显的河南省焦作市云台山景区为案例,通过新媒体数据、游客量与旅游收入数据,对景区季节性特征及新媒体营销效果进行分析.文章对2016年至2019年景区微信公众号3624篇推文进行编码,运用贝叶斯网络模型对淡旺季的营销传播策略进行后验概率推断.研究发现,以微信公众号为代表的新媒体平台淡季营销效果显著低于旺季.景区在淡季时采用与节赛事活动、文化、生活相关的宣传主题,文字+图片+视频的内容形式,上午发布的时间可以达到更好的营销效果.这与个体新媒体参与的注意力规律和时间规律密切相关.文章为旅游景区的新媒体营销和反季旅游发展提供建议.",,31-1693/K,中山大学," 旅游科学,Tourism Science,2025,39(1)",1006-575X,119-134,"CSTPCD, 北大核心, CSSCI, AMI",G206.2(信息与传播理论)
414,数智赋能与文化驱动:偏远乡村可持续发展新路径研究,"胡潇, 王天夫","数智赋能, 文化驱动, 偏远乡村, 可持续发展, 乡村振兴","基于""数智赋能-文化驱动""融合发展框架,将数智技术的工具理性与乡村文化的价值理性相结合,甘肃省甘南州迭部县扎尕那村走出了偏远乡村跨越式发展的新道路.具体而言,数智技术通过突破时空限制、提升信息流通效率、精准识别价值三重机制,弥补偏远乡村发展短板;乡村文化资源通过价值重构、体验转化、内生激活的实现路径,满足人们对民族文化体验的需求.两种要素的结合形成了新的发展模式,对偏远乡村的可持续发展具有一定的借鉴意义.",,53-1191/C,"清华大学, 清华大学"," 云南民族大学学报（哲学社会科学版）,Journal of Yunnan Nationalities University (Social Sciences Edition),2025,42(5)",1672-867X,77-82,"CSTPCD, 北大核心, CSSCI, AMI",G20(信息与传播理论);G124(中国);F59(旅游经济)
415,"从反帝到反法西斯:《怒吼吧,中国!》的跨国传播及其印度改编",贾岩,"《怒吼吧, 中国!》, 印度人民戏剧协会, 反法西斯文艺, 戏剧改编, 跨国传播","特列季亚科夫的《怒吼吧,中国!》1926年首演后,在欧洲、亚洲、北美洲十余国被翻译、改写和排演,并在跨国流传和在地调适的互动进程中释放出巨大的艺术和政治潜能,成为20世纪上半叶令人瞩目的跨国剧典范.印度人民戏剧协会1942年推出其改编版,借文本剪裁、要素置换等技法颠覆性地将原作从一部反英帝国主义戏剧重构为一部反日本法西斯戏剧,同时通过添加解说性序幕、打破""第四堵墙"",强化该剧与印度本土观众的联系,以达成印度共产党人在国大党领导的反英运动中开辟一个抗日阵地的动员目的.《怒吼吧,中国!》的印度改编揭示了反帝和反法西斯在英殖民语境中的矛盾关系,同时确证了""中国""作为世界反法西斯精神符号的启迪意义.",10.3969/j.issn.1003-0638.2025.10.006,11-2722/I,清华大学外国语言文学系 邮编:100084," 鲁迅研究月刊,Luxun Research Monthly,2025(10)",1003-0638,"44-53,100","CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论);G122(中国);J902(电影、电视艺术理论)
416,线上社会资本的测量与影响因素,缪晓雷,"线上社会资本, 社会网络资源, 定位法测量, 微博影响力, 社会阶层, 人际交往, 网络使用","互联网加强了人际联系,个体在线下空间的社会网络资源可以维持到线上,也可以在线上空间拓展新的资源,形成线上社会资本.线上社会资本的理论含义为:上网者可以通过互联网维持和拓展的、嵌入在线上社会网络中的资源.将社会网络与职业经历调查(JSNET)数据与线上微博数据相结合,使用定位法构建微博用户的微博影响力,并测量线上社会资本.在此基础上,使用Lasso回归和定性比较分析(QCA)方法对线上社会资本影响因素进行分析,结果发现:第一,基于微博影响力的定位法测量是线上社会资本的有效测量方法;第二,线上交往是提升线上社会资本的重要因素,相较于其他因素,博文数量越多则线上社会资本总量越高;第三,线上维持型社会资本和线上拓展型社会资本构成多重并发因果机制,即线上社会资本是在线上线下网络空间、通过线上线下影响因素综合产生的.",10.15896/j.xjtuskxb.202501015,61-1329/C,西安交通大学," 西安交通大学学报（社会科学版）,Journal of Xi'an Jiaotong University (Social Sciences),2025,45(1)",1008-245X,174-185,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论);C912.3(社会结构和社会关系)
417,欧盟数字政策的内容框架、创新路径及启示——以数字经济和社会指数为锚点,"赵琳, 钱雨秋, 郑汉","数字政策, 数字政策内容框架, 数字经济, 社会指数, 制度文本分析, 欧盟","[研究目的]欧盟以数字经济和社会指数作为数字政策的锚点,对欧盟及成员国的数字政策进行统筹规划.基于数字政策内容框架,欧盟系统地对欧盟范围内的数据等数字资源进行协调、组织与控制.探讨欧盟相关数字政策内容与实践路径可为欧盟后续数字政策预测,以及我国数字政策设计提供借鉴.[研究方法]面向数字经济和社会指数,结合网络调研、实地调研与内容分析,基于制度文本分析框架,从目标理念、基本制度两个层面,从数字技能、数字基础设施、业务数字化与数字公共服务四个维度,探究欧盟数字政策的内容框架与创新路径.[研究结果/结论]借鉴欧盟数字政策的内容框架及创新路径,我国可考虑构建与完善中国特色的数字发展指标体系,面向国内国际""双循环""需求设计数字理念,基于区域发展不平衡现状精准实施数字政策,聚焦数智技术前沿应用落地实践数字政策.",10.3969/j.issn.1002-1965.2025.02.026,61-1167/G3,"上海海事大学, 武汉大学"," 情报杂志,Journal of Intelligence,2025,44(2)",1002-1965,"200-206,封3","CSTPCD, 北大核心, CSSCI, AMI",G203(信息与传播理论)
418,中国国家形象的国际传播研究——基于新主流电影视角分析,付方达,"新时代, 新主流电影, 国家形象, 国际传播, 传播力, 影响力","党的二十届三中全会明确提出,构建更有效力的国际传播体系.这其中必然包括中国国家形象的国际传播.国家形象是一个国家文化传播和综合实力展示的重要载体与核心内容.全球化背景下,国家形象的国际传播已经成为国家全球影响力的重要组成部分.作为最具传播力和影响力的文化载体,中国电影特别是新主流电影始终肩负着建构和传播国家形象的重要使命.本研究认为,进入新时代以来,中国新主流电影已经成为中国国家形象国际传播的重要窗口.中国新主流电影从多个维度和层面塑造了开放包容的大国形象、人民至上的政治形象、战无不胜的军事形象、砥砺奋进的社会形象、自信自强的民族形象.但是,新主流电影国际传播也存在着文化折扣不容小觑、主流市场壁垒重重、电影类型相对单一、表达方式柔性不足等短板和弱项.新主流电影要突破国际传播的困境,必须坚持以习近平文化思想为指导,全面贯彻落实党的二十届三中全会精神,构建中国叙事体系,提升国际传播共情力;优化传播方法策略,提升国际传播亲和力;扩大对外交流合作,提升国际传播竞争力;推进支撑体系建设,提升国际传播组织力.通过积极建构多渠道、多层次的国际传播体系,全面提升国家形象国际传播效能.",10.11835/j.issn.1008-5831.pj.2025.07.001,50-1023/C,中国传媒大学," 重庆大学学报（社会科学版）,Journal of Chongqing University (Social Science Edition),2025,31(5)",1008-5831,131-141,"CSTPCD, 北大核心, CSSCI, AMI",J905(电影、电视艺术理论);G206(信息与传播理论)
419,扩张的鸿沟:社交媒体依赖对中国城乡数字世代生活质量的影响——物质主义和社会比较的链式中介作用,黄含韵,"社交媒体依赖, 物质主义, 社会比较, 生活质量, 数字世代","深度媒介化时代,社交媒体对人们生活状态产生了差异化的影响.研究探索城乡不同数字世代的社交媒体依赖及其心理特征,并以物质主义和社会比较构建社交媒体依赖对生活质量影响的链式中介模型.结果显示,数字原住民比数字移民更依赖社交媒体,物质主义和社会比较倾向更高,且城乡间的心理分化更明显.社交媒体依赖正向预测生活质量,物质主义在社交媒体依赖和生活质量之间起中介作用.分组结果显示,数字移民的社交媒体依赖能更有效地提升生活质量,而数字原住民对社交媒体的过度依赖则带来了更负向的影响,农村数字原住民因物质主义降低生活质量,城市数字原住民则因社会比较及其链式作用降低生活质量.这为理解社交媒体依赖对城乡不同数字世代的影响机制提供了经验证据,也为弥合数字使用鸿沟提供了实践思路.",10.3969/j.issn.0438-0460.2025.03.010,35-1019/C,厦门大学," 厦门大学学报（哲学社会科学版）,Journal of Xiamen University (Arts & Social Sciences),2025,75(3)",0438-0460,91-104,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论)
420,融媒体视域下汉字文化的国际传播,潘晨婧,"融媒体, 汉字文化, 国际传播, 智能策略","汉字文化的国际传播模式已经从传统模式转向融媒体模式,融媒体技术的传播特征集中体现了数字时代信息生态的革新逻辑.汉字文化国际传播的核心在于通过技术整合重构传播范式,从而形成多维度、立体化的传播体系.汉字文化的国际传播特质与融媒体之间具有契合机制,汉字文化的融媒体传播本质上是传统字符基因与数字科技文明的深度配适过程,可以实现从笔法规律提取到全网参与意义重构,再到创造性书写的跨越.在融媒体技术的推动下,汉字文化国际传播在方式革新、智能策略、评估体系中得到进一步的发展和完善,从而实现更大范围、更深力度、更高质量的传播效果.",10.3969/j.issn.1004-518X.2025.10.018,36-1001/C,中国人民大学国际文化交流学院(北京 100875)," 江西社会科学,Jiangxi Social Sciences,2025,45(10)",1004-518X,179-186,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论)
421,谣言止于智者:认知战环境下谣言控制模型研究,"刘亦欣, 夏一雪, 兰月新","认知战, 网络谣言, 谣言传播, 控制机理, 控制模型, SIR模型","[研究目的]在认知战的背景下,谣言的泛滥已严重威胁公众理性认知和社会稳定.以激发个体与群体的认知能力为导向,力求掌握""先行优势"",实现""谣言止于智者"".[研究方法]通过总结认知战环境下谣言的新特征,基于网络谣言的传播机理和SIR模型的建模思想,引入认知干扰率等认知战影响参数以及以常识逻辑为主的抗性疫苗和以就事论事为主的靶向疫苗等认知战抵御参数,构建了认知战环境下的谣言控制模型.[研究结果/结论]通过求解模型的平衡点,确定了谣言传播的稳定性和阈值条件.进行仿真实验观察认知战参数变化对谣言传播的影响,仿真结果验证了""远见于未萌""和""避危于无形""两种前瞻性谣言控制方法的可行性,并针对总结的新特征提出可落实的具体策略.",10.3969/j.issn.1002-1965.2025.06.018,61-1167/G3,中国人民警察大学网络舆情治理研究中心 廊坊 065000," 情报杂志,Journal of Intelligence,2025,44(6)",1002-1965,138-148,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论)
422,新媒体时代重读 "移动的私有化"——以威廉斯、本雅明和维利里奥的启示为核心,张墨研,"移动的私有化, 新媒体, 威廉斯, 本雅明, 维利里奥","威廉斯在对电视的历史化批判中形成的""移动的私有化""概念对理解资本主义生产方式中的任何新的媒介形式均具有借鉴意义.对此,本雅明基于历史哲学的空间批评和维利里奥基于光学理论的技术美学在时空综合性中将这一概念的理论效果推向前沿.""移动的私有化""的理论起点是对偏狭的""技术决定论""的技术认知的扬弃,同时彰显了马克思主义的生产方式理论的根本决定性,这一认识可使我们一方面穿越作为""技术拜物教""的意识形态幻象,另一方面进一步理解属于社会主义现代性的技术认知.",10.3969/j.issn.1000-5420.2025.01.014,11-1476/C,中国艺术研究院," 中国人民大学学报,Journal of the Renmin University of China,2025,39(1)",1000-5420,165-174,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论);G641(高等教育);D630.1(国家行政管理)
423,基于耦合网络的舆情观点演化机制分析,"刘继, 郭一凡","耦合网络, 网络舆情, 舆情观点, 舆情监控, 演化机制, Deffuant模型","[研究目的]在互联网时代,舆情观点演化并非局限于单一网络环境,而是在多个网络环境交织互动中协同演进.分析舆情观点在耦合网络中的演化机制,对提升舆情治理能力具有重要意义.[研究方法]根据社交网络结构特点设计了线上网络为BA无标度网络,线下网络为WS小世界网络的线上线下耦合网络架构.结合影响力与Deffuant模型构建线上观点演化模型,结合影响力和沉默螺旋理论构建线下观点演化模型,基于用户倾向程度构建层间观点演化模型.[研究结果/结论]通过模型参数配置并进行仿真实验,对不同参数配置下的观点演化进行分析.研究结果表明,所构建的观点演化模型能更好地反映线上线下耦合网络中舆情观点演化的复杂特性,为网络舆情演化分析提供有力支持.",10.3969/j.issn.1002-1965.2025.02.018,61-1167/G3,新疆财经大学," 情报杂志,Journal of Intelligence,2025,44(2)",1002-1965,"136-143,182","CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论)
424,嵌入"陌生"躯体的媒介:基于"泡泡玛特"群体的情感实践分析,"晏青, 江玮","物质文化, 娱乐文化, 情感疗愈, 亲缘关系, 身份认同","泡泡玛特作为当下流行于青年群体的""潮玩"",其爆火的原因除了IP孵化与盲盒形式售卖之外,或许还与本身材质的变化相关.本文结合丹尼尔·米勒的物质文化视角并采用参与式观察、深度访谈的研究方法,基于材质作为媒介的观点,从消费、审美、身份的维度对泡泡玛特群体的情感实践进行分析.研究发现:这三个维度并不是独立的系统节点,而是一种过程性的互动实践.材料、质感既建构了现实与浪漫的消费交融,又包含着仪式性审美与养成式审美交替嵌入实践的情感疗愈,两者在自我认同层面塑造了流动的亲缘关系.然而,这种情感连接是脆弱的,泡泡玛特群体通过物的关系集合不断重组的方式,对之予以修复并演变为一种放射式情感,从而导致了他们在过程性系统中徘徊于重复的""陌生""与短暂的""熟悉""之间,以此形成碎片化、拼接式的情感疗愈.",10.3969/j.issn.1004-3926.2025.11.013,51-1671/C,暨南大学," 西南民族大学学报（人文社会科学版）,Journal of Southwest University for Nationalities,2025,46(11)",1004-3926,125-134,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论);C913.5(社会生活、社会问题、社会保障)
425,政府数据的隐私风险计量与分级保护机制研究,"臧国全, 肖洋, 张凯亮","政府数据, 隐私风险, 隐私计量, 风险计量, 分级保护","加强数字政府建设是党和国家的重要战略.数字政府在履行管理与服务职责过程中产生海量政府数据.政府数据在开放利用以提升社会治理水平的同时,产生严重隐私问题,引发社会担忧,影响社会稳定,威胁国家安全,亟须构建符合中国国情的政府数据隐私管理方案,平衡政府数据开放利用与个人隐私权益保障的矛盾需求.本文通过梳理政府数据生命周期,探索政府数据生命周期不同阶段的隐私形态及其计量方法,分析政府数据隐私风险发生机理,实现政府数据隐私风险计量;在此基础上,构建政府数据分级保护机制,形成政府数据隐私风险管理理论体系,以期解决我国政府数据隐私风险管理的现实难题与痛点,全面提升我国政府数据隐私治理水平.图3.参考文献22.",10.13530/j.cnki.jlis.2025024,11-2746/G2,郑州大学," 中国图书馆学报,Journal of Library Science in China,2025,51(3)",1001-8867,105-117,"CSTPCD, 北大核心, CSSCI, AMI",G203(信息与传播理论)
426,时间的技艺:论劳动监视技术及其规训权力,"林仲轩, 吕梓剑","社会时间, 流动空间, 监视技术, 数字劳动, 规训权力","从时空视角重新解读福柯的规训权力观,其包含由空间、时间分别主导的权力""生产端""与""运作端"".数字时代之前,资本主义一直以前者为重,优先开展空间殖民计划;直至移动技术问世,地方空间被改造成近乎完美的流动空间形态,时间的开发价值才因权力生产的稳固而被重视.数字资本瞄向于此,希冀通过时间策略的改良来提升流动空间内的驯化技术.因此,配置于移动技术的监视装置都致力于操控时间,意图打造效率型的监视客体,如通过数据实践将""未来""纳入监视时态范畴,通过符码化的数字身体及劳动过程的局部监视来推动工作的进度,等等.鉴于液态社会下时间价值的凸显,当下有关规训理论或劳动监视的研究应当跨越空间或技术要素的藩篱,实现时间的维度转向.",10.16339/j.cnki.hdxbskb.2025.05.018,43-1286/C,暨南大学," 湖南大学学报（社会科学版）,Journal of Hunan University (Social Sciences),2025,39(5)",1008-1763,160-168,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论)
427,IP属地化对用户感知谣言可信度的影响:证实性偏差的交互作用,"王诣铭, 郝晓玲","谣言, IP属地化, 证实性偏差, 感知可信度","[目的/意义]以信息处理的双系统模型为基础,验证IP属地化能否影响用户的感知谣言可信度,为平台谣言治理提供启示.[研究设计/方法]采用2(事发生地vs.非事发生地)×2(不公开IP属地vs.公开IP属地)的组间实验设计,验证了社交媒体平台IP属地化对用户感知谣言可信度的影响,且分析了证实性偏差与IP属地化的交互作用.[结论/发现]IP属地化显著降低用户对非事发生地谣言的信任度,也对事发生地谣言的感知可信度有一定提高;证实性偏差对用户感知谣言可信度有重要作用,且交互分析发现,先验知识与谣言内容一致的用户受IP属地化的影响更大.[创新/价值]揭示了IP属地化在帮助用户辨别谣言方面的重要作用,进一步丰富了信息系统领域通过交互界面设计引导普通公众应对谣言的研究.",10.13366/j.dik.2025.05.101,42-1085/G2,上海财经大学," 图书情报知识,Document,Informaiton & Knowledge,2025,42(5)",1003-2797,101-113,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论)
428,公共数据开放平台用户体验要素研究——基于NCA和SEM的实证分析,"朱彤, 马海群","公共数据开放平台, 用户体验, 影响机制, NCA, SEM","[目的/意义]基于用户体验五要素模型分析用户体验公共数据开放平台的影响因素,以期帮助平台完善建设,实现用户体验的升级.[方法/过程]基于用户体验五要素模型进行要素析出、假设设计与模型构建,利用问卷进行信息搜集,通过SEM模型与NCA方法对数据进行路径检验、假设验证及必要性分析.[结果/结论]在用户体验五要素当中,内容需求、交互设计、界面设计、视觉表现均对用户体验具有充分的显著性影响;在必要性上则略有不同,据瓶颈水平分析可知,必要性程度由高到低分别是内容需求、视觉表现、界面设计及用户需求.",10.3969/j.issn.1008-0821.2025.03.007,22-1182/G3,"黑龙江大学, 黑龙江大学"," 现代情报,Journal of Modern Information,2025,45(3)",1008-0821,77-88,"CSTPCD, 北大核心, CSSCI, AMI",G203(信息与传播理论)
429,数据安全保障新质生产力发展:理论模型、作用系统与实践进路,"黎远波, 汪梦妤, 邱均平","数据安全, 数据要素, 新质生产力, 理论模型, 作用机制","[目的/意义]数据安全是保障发展新质生产力的前提和基础.深入研究数据安全保障新质生产力发展的理论模型、作用机制系统与实践路径具有重要价值.[方法/过程]首先,采用理论建模法,基于数据安全""主体—客体—介体—环体""四维度,构建数据安全保障新质生产力发展的四维向度理论模型;其次,借助系统论分析方法,解析数据安全保障新质生产力发展的输入机制、转化机制、输出机制和调适机制;最后,坚持理论与实践相结合,从动能、基础、人才和生态 4 个方面构建数据安全保障新质生产力发展的实践进路.[结果/结论]数据安全从主体维度、客体维度、载体维度和环体维度四重向度,总体性覆盖了新质生产力发展的劳动者、生产资料和劳动对象三大结构,数据安全对于新质生产力发展的保障作用系统包括输入机制、转化机制、输出机制和调适机制四大机制,亟待整体从维护科技数据安全、产业数据安全、培育数据安全人才和加强数据安全治理 4 个层面,构建数据安全保障新质生产力发展新实践.",10.3969/j.issn.1008-0821.2025.02.009,22-1182/G3,杭州电子科技大学," 现代情报,Journal of Modern Information,2025,45(2)",1008-0821,97-105,"CSTPCD, 北大核心, CSSCI, AMI",G203(信息与传播理论)
430,WSR理论视域下突发事件网络舆情反转形成机理研究——基于两类灾害事件的定性比较分析,"鲁艳霞, 罗惟舰","突发事件网络舆情, 舆情反转, WSR, 形成路径, fsQCA","[目的/意义]揭示突发事件中网络舆情反转形成机理,帮助政府有效应对突发灾害,提升舆情治理效能.[方法/过程]聚焦自然灾害和事故灾难两类突发事件,基于WSR(物理—事理—人理)理论,构建突发事件舆情反转形成模型,采用NCA与fsQCA方法对40 个热点案例进行了实证分析,并进一步运用PSM方法分析了不同组态对舆情反转的影响作用.[结果/结论]研究发现,突发事件网络舆情反转的形成路径可归纳为客体缺失型、意见领袖代表型、网民主导型 3 种类型,不同类型对舆情反转的影响存在显著的差异性.在自然灾害事件中,舆情反转多受事件本身影响力和网民关注度的影响;在事故灾难事件中,则更容易受到权威主体和意见领袖的驱动.",10.3969/j.issn.1008-0821.2025.09.010,22-1182/G3,辽宁师范大学," 现代情报,Journal of Modern Information,2025,45(9)",1008-0821,108-119,"CSTPCD, 北大核心, CSSCI, AMI",G206.3(信息与传播理论);C912.63(社会结构和社会关系)
431,卷入与疏离:青年用户社交媒体使用中的组合与摇摆行为研究,"罗昶, 杨彦军","青年用户, 社交媒体组合, 社交媒体摇摆, 策略性疏离","在社交媒体平台多元化的背景下,青年用户的媒介使用呈现出跨平台组合与动态摇摆的新特征.青年用户社交媒体组合与摇摆行为的动机可归纳为主我与客我的认同寻求、兴趣与社群的同好集结、圈层与角色的社会性适应,以及警觉与反击的算法抵抗四类;青年用户形成了主导型、差异型、同步型和区隔型四种组合形式——这既受到平台特性、资源限制等宏观结构因素的制约,也受到态度、主观规范与知觉行为控制等微观心理因素的影响.组合与摇摆行为在提升用户社交管理能力的同时,也带来社交疲惫与现实疏离,并推动平台优化隐私机制与生态设计.""结构—能动""视角下,青年可以通过""重建附近""理念下的""策略性疏离""实现数字生存再平衡.",10.3969/j.issn.1007-8770.2025.12.014,11-5363/G2,北京工商大学语言与传播学院," 现代传播,Modern Communication,2025,47(12)",1007-8770,122-132,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论);D630(国家行政管理);C912.6(社会结构和社会关系)
432,"""叙事—共情""视角下融合视听提升国家形象的双效逻辑","周怡帆, 徐若寒","""叙事—共情"", 融合视听, 国家形象, 双效逻辑","融合视听作为技术赋能下的新兴传播形态,通过视觉、听觉、触觉的多感官协同,为突破文化隔阂提供新可能.""叙事—共情""视角下融合视听遵循三维叙事逻辑:视觉叙事呈现空间全貌,听觉叙事选择意义元素,触觉叙事扩散交互价值;共情效应则体现为三个层次:认知共情实现文化理解,情感共情促进精神共鸣,行为共情推动价值认同转化.而融合视听传播亦存在技术幻象与文化浅表化的风险,需要在技术理性与人文精神之间保持平衡,未来的国际传播应超越技术工具主义,在承认文化差异的基础上寻求理解可能,推动构建人类文明交流互鉴的新格局.",10.3969/j.issn.1007-8770.2025.12.012,11-5363/G2,北京体育大学," 现代传播,Modern Communication,2025,47(12)",1007-8770,"101-110,132","CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论);D820(中国外交);J905(电影、电视艺术理论)
433,中美关税背景下我国智库学者国际传播实践与思考,李菡,"中美关税, 智库学者, 场域理论, 国际传播, 话语分析","[目的/意义]智库学者作为研究对象,既是主权国家公共外交的实践个体,也是国际舆论话语权争夺的传播单位.聚焦我国智库学者在舆论安全方面所做的战略型国际传播实践案例,对启发公共外交、提升智库国际影响力具有重要意义.[方法/过程]本文从中美关税战背景出发,聚焦以全球化智库与中国人民大学重阳金融研究院代表学者的国际传播实践,运用大数据抓取和话语分析软件从词频、语句、隐含狄利克雷分布(latent dirichlet allocation,LDA)主题实证总结智库学者传播内容、策略、成效,进一步揭示智库学者在复杂国际舆论环境中如何有效发声.[结果/结论]在中美关税语境下,我国智库学者正以主流媒体发声为根基、社交媒体扩散为路径创新,系统提升其国际舆论场影响力.通过横向与纵向扩散路径,智库学者对外传播""中国立场""与""全球视角"",将""主体性规则辩护""与""利他性发展叙事""框架嵌入中美关税国际话语议程之中.研究表明,智库学者参与该舆论场依旧存在结构性失衡、跨文化传播失配以及自身运营机制不足等困境,仍对其话语权提升构成制约.为此,本文建议继续完善传播内容,精准定位受众类型,强化跨文化视角的表达能力,提升智库学者在新闻舆论工作中的自我认知与身份认同,进一步提升""执言""""引吭""之外部能效,为智库学者在公共外交领域开展国际传播提供有效的经验总结与实践启示.",10.19318/j.cnki.issn.2096-1634.20250905.0005,10-1413/N,国际关系学院," 智库理论与实践,Think Tank：Theory & Practice,2025,10(6)",2096-1634,114-128,"CSTPCD, 北大核心, CSSCI, AMI",G206(信息与传播理论);C932(咨询学)
434,个体对职业的单向奔赴:青年网络主播的职业选择及审视,"郑建, 段美玲","网络主播, 人-职匹配理论, 职业选择, 应对策略","近年来,网络主播行业成为青年群体的择业新选择,从业群体稳步扩容.过往研究指出了网络主播行业对青年形成就业""拉力""的原因,但对青年从业现状和内部差异性的关注不足,且未能从职业发展规划的视角展开系统性分析.本文基于深度访谈和参与式观察相结合的质性研究方法,从网络主播从业青年的择业认知和行为动机入手,对基于不同从业动机的职业不匹配应对策略进行群体类型划分,进而从推动青年高质量就业层面提出反思.",10.3969/j.issn.1002-9931.2025.04.012,11-2579/D,中国青年政治学院," 中国青年研究,China Youth Study,2025(4)",1002-9931,103-111,"CSTPCD, 北大核心, CSSCI, AMI",G206.2(信息与传播理论);G647.38(高等教育);F241.4(劳动经济)
